wavelength_nm,RED.LED,GREEN.LED,BLUE.LED,AMBER.LED,CYAN
480,5.35442641246618e-06,3.40876996366152e-05,0.000420244240296674,1.50356803975011e-05,0.0153841476361103
482,3.04790426555767e-06,4.69096783990117e-05,0.000385223886938618,1.58312190428716e-05,0.0126633149136908
484,4.92008133285354e-06,7.84955285210129e-05,0.000350203533580562,1.44788033457418e-05,0.0103747640256744
486,4.18618792247356e-07,0.000123841550973391,0.000318101543002344,1.19330796805565e-05,0.00841678159926034
488,4.56811204420191e-06,0.00014792185255155,0.000291544441705818,1.46379110748159e-05,0.00684022432084903
490,7.02440835649409e-06,0.000153863745148758,0.000267030194355178,1.37628185649085e-05,0.00556880716083992
492,3.57211384440051e-06,0.000140416304007708,0.000245434309784377,1.12170948997231e-05,0.00452624508963245
494,4.94254745766109e-06,0.000100073980584558,0.000225881279159462,1.1057987170649e-05,0.0037379664504268
496,4.74035233439313e-06,6.94263240305373e-05,0.000213040482928175,9.14869442175995e-06,0.00307682952722206
498,4.5756007524711e-06,6.62990121372699e-05,0.000196697651361082,9.7851253380563e-06,0.00254283432001823
500,5.4368022034272e-06,8.97538513367757e-05,0.000188234399299552,1.30468337840751e-05,0.00210546681697509
502,6.00594403188514e-06,0.000140103572818382,0.000177728293292135,8.91003282814882e-06,0.0017291273376124
504,5.01743454035292e-06,0.000229231961776504,0.000170140550064556,1.27286183259269e-05,0.00142398721921021
506,3.16023488959542e-06,0.000356513555832489,0.000160801789169075,1.03420023898156e-05,0.0011722466215284
508,3.09283651517277e-06,0.000531643021855466,0.000152922209663512,6.44386302750049e-06,0.00096119137296689
510,6.46275523630533e-06,0.000778700661423594,0.000142707939934079,1.1137541035186e-05,0.000798449976485724
512,5.72137311765617e-06,0.00116961464808203,0.000136871214374403,7.69285870073206e-06,0.000661136923204739
514,6.68741648438083e-06,0.00186075057649413,0.000127240617200937,6.80981080437089e-06,0.000549252213123937
516,6.35791332053676e-06,0.00328367748793082,0.000118777365139407,7.36668785613019e-06,0.000450081674643226
518,4.61304429381701e-06,0.00628589690546757,0.000109438604243926,1.43196956166678e-05,0.000366168142082625
520,8.23757909610181e-06,0.012102697026945,0.000104477387518201,1.39219262939825e-05,0.000294968781122114
522,7.30897927072306e-06,0.0209842628038246,9.77651531245735e-05,2.25137436639832e-05,0.000232160773417664
524,9.36088533647933e-06,0.031898581311328,9.1052918730946e-05,3.27761921892617e-05,0.000175455568081258
526,8.76178867494465e-06,0.0450332912630512,8.43406843373186e-05,3.37308385637063e-05,0.00012968455032093
528,5.65397474323352e-06,0.0603571195400617,7.87957950556264e-05,4.70163339413924e-05,8.95077680646416e-05
530,5.30200545458189e-06,0.073491829491785,7.32509057739341e-05,5.52899358532449e-05,6.10280236804375e-05
532,7.25655831283878e-06,0.0809973780356269,6.85815253261933e-05,6.26088913906529e-05,4.04310656882898e-05
534,9.21111117109566e-06,0.0813101092249536,6.47876537124039e-05,6.01427215900046e-05,2.64454769281896e-05
536,9.13622408840383e-06,0.075993679006399,6.21611272105497e-05,5.37784124270411e-05,1.91475424297373e-05
538,1.03344174114732e-05,0.0688008616518838,5.83672555967603e-05,5.05167039810223e-05,1.79015536129283e-05
540,8.76178867494465e-06,0.0619207754866955,5.45733839829709e-05,4.6220795296022e-05,1.6604708109719e-05
542,1.41536586287567e-05,0.0553534205108338,4.96121672572462e-05,4.35159639017626e-05,1.57910011273132e-05
544,1.40038844633731e-05,0.0494115279136257,4.990400353523e-05,4.11293479656513e-05,1.71132749737227e-05
546,1.36294490499139e-05,0.044095097695071,4.43591142535378e-05,3.48445926672249e-05,1.50535791745079e-05
548,1.10084011556997e-05,0.0390913986658431,4.2608096585635e-05,3.45263772090767e-05,1.48247240857063e-05
550,7.48870826918346e-06,0.0347131620152687,4.08570789177322e-05,3.79471933841695e-05,1.37313053280984e-05
552,8.53712742686915e-06,0.0305225640782903,3.88142249718456e-05,5.61650283631524e-05,1.35787352688973e-05
554,8.23757909610181e-06,0.0264257854981099,3.61876984699914e-05,8.91003282814882e-05,1.35024502392968e-05
556,7.42879860303e-06,0.0223602800368622,3.56040259140238e-05,0.000155925574492604,1.19258929608855e-05
558,7.63848243456713e-06,0.0184511401702779,3.2393826856202e-05,0.000263323291617613,1.20530346768864e-05
560,6.89710031591797e-06,0.0147609121362224,3.03509729103153e-05,0.000445501641407441,1.05273340848755e-05
562,6.9270551489947e-06,0.0113208690536282,2.85124043590174e-05,0.000774854640590799,1.06290474576762e-05
564,6.80723581668777e-06,0.00813101092249536,2.69656720857033e-05,0.00131263876486121,1.02984789960738e-05
566,6.80723581668777e-06,0.00531643021855466,2.58566942293648e-05,0.00209226663732423,1.0603619114476e-05
568,7.71336951725897e-06,0.00309291146244151,2.52438380455988e-05,0.00319806535438913,9.81534047527036e-06
570,6.29051494611411e-06,0.00155114669906065,2.35803712610912e-05,0.00483687496385222,9.25591692486635e-06
572,7.63848243456713e-06,0.000659862809479431,2.20920062433738e-05,0.00700869546571349,9.00163349286453e-06
574,7.48870826918346e-06,0.000256439575247931,2.03118049476726e-05,0.00962601760898221,9.63734207286909e-06
576,8.98644992302016e-06,0.000136976260925114,1.96697651361082e-05,0.012887726055001,8.21335485365888e-06
578,9.2859982537875e-06,0.000104139486045806,1.82105837461892e-05,0.0167858654173161,8.11164148085815e-06
580,9.95998199801401e-06,8.78774642008153e-05,1.74809930512297e-05,0.0217977588831498,8.16249816725851e-06
582,1.31052394710711e-05,8.03719156569734e-05,1.75977275624232e-05,0.0283211757751873,7.45050455765341e-06
584,1.52769648691343e-05,7.53682166277455e-05,1.68973204952621e-05,0.0364356699579657,7.04365106645049e-06
586,1.86468835902668e-05,7.06772487878443e-05,1.5817526266722e-05,0.0466185646187072,7.24707781205195e-06
588,2.36643181306197e-05,6.41098938119827e-05,1.60509952891091e-05,0.0594267368091712,6.10280236804375e-06
590,3.00297201594257e-05,5.47279581321803e-05,1.50295683161658e-05,0.0749397403938946,7.42507621445323e-06
592,4.22363146381947e-05,4.75351407776652e-05,1.44458957601982e-05,0.0930780215083404,6.56051254564703e-06
594,6.11827465592289e-05,4.22187105591105e-05,1.28699798590856e-05,0.109784333061119,6.07737402484357e-06
596,9.43577241917116e-05,3.56513555832489e-05,1.42416103656095e-05,0.116148642224083,5.161953669637e-06
598,0.000161756098614363,3.22113125006547e-05,1.21695727919245e-05,0.106602178479638,6.38251414324575e-06
600,0.000287566397536645,3.15858501220012e-05,1.0593656890812e-05,0.0827360191185248,5.89937562244229e-06
602,0.000536191512073536,2.68636091631674e-05,1.18485528861423e-05,0.0575174440602821,5.03481195363609e-06
604,0.000981020783263034,2.77705296122149e-05,9.98080070704601e-06,0.0378676395196325,5.41623710163883e-06
606,0.00171491419364301,2.74265253039555e-05,1.02434533572314e-05,0.0244230364128722,6.0265173384432e-06
