wavelength_nm,RED.LED,GREEN.LED,BLUE.LED,AMBER.LED,ROY.BLUE.LED
568,2.92863250704704e-05,0.00532491795238008,9.78329669582064e-05,0.00296965035682001,0.000110060903688365
570,8.65203583464287e-05,0.00494793261061866,0.000260178977345375,0.00433697138442059,0.00033910656812091
572,5.74625776187602e-05,0.00426464667867609,0.000168726421275747,0.00616362681973074,0.00034579946091277
574,0.000149206806657804,0.00375807262568417,0.000314766937169881,0.00900509083021319,0.000376289305853466
576,6.66043513308357e-05,0.00313369065339182,4.32450071336999e-05,0.0128186346337554,0.000145012677156968
578,0.000146921363229785,0.0027567053116304,0.000196374868459588,0.0185870202189454,0.000207479676547662
580,0.00026282599422217,0.00262711660039991,0.000292081031788268,0.0262782009991986,0.000316796925481376
582,0.000272620751770823,0.00226191205056853,7.01845197743654e-05,0.0351444232875462,0.000307873068425563
584,0.000457088685603775,0.00204985779582773,0.00019921060663229,0.0467880164132073,0.000539149697122061
586,0.000483208039066847,0.001590406910556,9.64150978718556e-05,0.0601407608233692,0.000333157330083701
588,0.000750931412063344,0.00155506453476587,0.000345960057069599,0.0762708760708448,0.000304154794652307
590,0.000845614068366983,0.00114155873802131,0.000385660391487422,0.0924009913183204,0.000316053270726725
592,0.00105783381525445,0.00104731240258095,0.00027790234092476,0.106715133326014,0.000403060877020906
594,0.00132882210743383,0.0011132848373892,0.000248836024654568,0.111094833492547,0.000159142117495339
596,0.00164551926817359,0.000865888206858266,0.000186449784855132,0.101267213606668,0.00024614972378952
598,0.00201119021665661,0.000601998467625271,9.28704251559785e-05,0.0793687127740024,0.000104855320405808
600,0.00250419301327211,0.00069977904064464,7.23113234038917e-05,0.0545860191487419,0.000242431450016264
602,0.00314085225393451,0.00071038175338168,0.000248127090111393,0.0361058208850778,0.000157654807986037
604,0.00375465706031672,8.95340186683377e-05,2.38910941050113e-05,0.0241417618935727,6.29131922434846e-05
606,0.00463618523969543,0.000524245240886977,0.000193539130286887,0.0166642250238821,0.000200043129001151
608,0.0058115561455337,0.000292163639865102,8.22364070083474e-05,0.0114299492150986,0.000228302009677893
610,0.00728076977783155,0.000150794136704569,0.000181487243052905,0.00841757007616607,0.000248380688053473
612,0.00920707209573317,0.000518354844921955,0.000323274151687986,0.00617430901525887,0.000417190317359277
614,0.0114272171400944,0.000300410194216133,0.000229694791988832,0.00427287821125181,0.000287050735295332
616,0.0143003460210324,6.76217456784551e-06,0.00021764290475485,0.0030764723121013,0.00022607104541394
618,0.0177611603548895,4.47670093341689e-05,6.10392641674027e-05,0.00227530764749159,7.51091302197629e-05
620,0.0220708536762965,-0.000323971778076222,-7.86917342924703e-05,0.00161301152474756,8.92385705581342e-05
622,0.02732737356074,1.94383066845733e-05,-4.88455900247856e-05,0.00117504150809425,0.000139063439119759
624,0.0333021756654179,0.000274492451970035,0.000196374868459588,0.00114299492150986,0.00017327155783371
626,0.0401585059494745,0.000189670750073715,0.000238910941050113,0.000922941693630391,0.00017327155783371
628,0.0479943119883963,0.000239150076179902,0.000197083803002764,0.000616362681973074,0.00030564210416161
630,0.0571360857004718,5.06574052991911e-05,9.28704251559785e-05,0.000562951704332426,8.03147135023207e-05
632,0.0669308432491241,9.13011374578444e-05,0.000124772479598872,0.00036533108706203,0.000130883236818597
634,0.076399108879488,0.000101432618517683,3.60847682476283e-05,0.000417673845149865,9.59314633499942e-06
636,0.0845614068366983,-3.38108728392275e-06,6.50801910635025e-05,0.000324738744055138,0.000160629427004641
638,0.0894587856110245,7.51614525136835e-05,9.64150978718556e-05,0.000356785330639526,5.01223304634854e-05
640,0.0878263260195824,-8.19943118331093e-05,2.54507500999972e-06,0.000193347739059144,3.41337532384863e-05
642,0.0770520927160648,1.2723255284448e-05,9.57061633286802e-05,0.000139936761418497,6.61852731639495e-05
644,0.0594215291284907,8.2465543510311e-05,6.947558523119e-06,9.87034866799169e-05,0.000114522832216272
646,0.0414644736226281,3.72273024989404e-05,0.00012193674142617,0.000526632239536786,0.000131626891573248
648,0.0279803573973168,3.87588054498462e-05,0.000263723650061252,0.000435833577547685,0.000114522832216272
650,0.0191324264117008,-7.6103915868087e-05,-1.37533301376029e-05,9.88103086351982e-05,1.01137046632552e-05
652,0.0134188178416537,-7.77532267382933e-05,0.000140369039548731,0.000226462545196346,0.000174758867343013
654,0.0094682656303639,9.04764820227413e-05,8.71989488105752e-05,0.000302306133446066,9.89060823685987e-05
656,0.00669308432491241,-3.03944431795146e-05,-2.0842675569357e-05,0.000220053227879468,0.000155423843722084
658,0.00470148362335311,-1.51972215897573e-05,-4.1685351138714e-05,0.000290555718365123,0.000168809629305804
660,0.00342816514202831,0.000312190986146178,0.000229694791988832,0.000440106455758937,0.000350261389440677
662,0.00246827890226038,0.000267423976812009,0.000181487243052905,0.000489244555188332,0.000237225866733707
664,0.00179570555058626,-2.20300809091831e-05,8.57810797242244e-05,0.000316192987632634,0.000165835010287199
666,0.00132555718825095,0.000197917304424747,6.2528026708071e-05,0.000290555718365123,0.00024614972378952
668,0.000992535431596768,-0.000188492670880711,-2.99879311763198e-05,0.000137800322312871,0.000112291867952319
670,0.000721547139417387,1.09914788707315e-05,0.000110593788735364,7.81936712659082e-05,9.14695348220875e-05
672,0.000558301180273182,4.14683875937564e-05,0.000150294123153187,0.000519154702667095,0.000155423843722084
674,0.000466883443152427,2.45040472144924e-05,5.84870998119712e-05,0.000210439251904152,8.1802023011623e-05
676,0.000375465706031672,2.20300809091831e-05,0.000117683134167118,0.000340762037347332,0.000132370546327899
678,0.000231156278148195,-2.20300809091831e-05,8.29453415515228e-05,0.000221121447432281,0.00015988577224999
680,0.000159654548043033,-6.6797090243352e-05,3.25400955317512e-05,0.00017732444576695,-3.04154794652307e-05
682,0.000176305635875742,-1.86136512494702e-05,0.000166599617646221,0.000348239574217023,2.18634497867429e-05
684,0.000161287007634475,-0.000168465324599635,8.22364070083474e-05,0.000361058208850778,0.000159142117495339
686,0.000150186282412669,0.000116276416349539,5.21066889233925e-05,0.000301237913893253,0.000160629427004641
688,9.14177371207549e-05,-0.000141369503160533,-4.76404013013874e-05,1.04685516175669e-05,1.76989831606966e-05
690,0.000139412049109151,-5.60765695870115e-05,7.37291924902425e-05,0.000316192987632634,0.000124190344026737
692,0.000136147129926267,-8.28189672682124e-05,0.000164472814016695,0.000346103135111397,0.000235738557224404
